CEBT1	10
T	1	2026-09-01	INCOME	OTHER	8000.00	Monthly allowance
T	2	2026-09-02	EXPENSE	FOOD	120.50	Canteen lunch
T	3	2026-09-03	EXPENSE	TRANSPORT	80.00	Bus pass top-up
T	4	2026-09-05	EXPENSE	STUDY	450.00	Java reference book
T	5	2026-09-06	EXPENSE	HOSTEL	2500.00	Hostel mess contribution
T	6	2026-09-08	EXPENSE	FOOD	95.25	Tea and snacks with classmates
T	7	2026-09-10	EXPENSE	LEISURE	350.00	Campus cultural event
T	8	2026-08-31	EXPENSE	STUDY	200.00	Previous month's printing
T	9	2026-10-01	EXPENSE	FOOD	60.00	Next month's breakfast
B	2026-09	FOOD	200.00
B	2026-09	TRANSPORT	300.00
B	2026-09	STUDY	500.00
B	2026-09	HOSTEL	2500.00
B	2026-09	LEISURE	500.00
